diet,taxon,species,id,gavage,injection,prox,med,dist,nsa,mass
Herbivorous,Bat,Artibeus lituratus,A_litu_1,NA,NA,23.17806447318899,18.374247600723663,12.34962186748556,24.9128,78.54
Herbivorous,Bat,Artibeus lituratus,A_litu_2,NA,NA,18.894874581533028,18.02864487573859,12.314181066023023,26.772000000000002,62.67
Herbivorous,Bat,Artibeus lituratus,A_litu_3,NA,NA,18.67894765326936,19.364529397902523,13.456170050588089,32.9112,67.54
Herbivorous,Bat,Artibeus lituratus,A_litu_850,0.9412268547438494,NA,NA,NA,NA,NA,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_854,0.9147419659676715,NA,NA,NA,NA,NA,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_875,0.8716221338074333,NA,NA,NA,NA,NA,NA
Herbivorous,Bat,Artibeus lituratus,A_litu_878,0.924152735315163,NA,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_1,NA,NA,18.776601982152492,13.610203786912297,10.155891073334754,4.91,14.3
Protein,Bat,Eptesicus fuscus,E_fusc_1,NA,NA,12.187697970723987,9.463517947148253,7.174725985583567,10.439489166666666,22.2
Protein,Bat,Eptesicus fuscus,E_fusc_1,NA,NA,13.289569031697994,9.948026726822377,6.831709523520441,7.101999999999999,11.3
Protein,Bat,Eptesicus fuscus,E_fusc_10,0.9600254462070333,37.98487623590603,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_11,0.7908459762046964,14.518301117359071,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_12,0.6042758828391558,41.417026955193315,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_4,0.26322345656065294,43.004703587200304,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_5,1.349901758201864,22.984728090376382,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_6,0.7107193610677643,48.51299858508661,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_8,0.6642712751484277,53.05042456414685,NA,NA,NA,NA,NA
Protein,Bat,Eptesicus fuscus,E_fusc_9,1.4937202914093883,18.493566167780966,NA,NA,NA,NA,NA
Protein,Bat,Myotis lucifugus,M_luci_1,NA,NA,12.149676217039705,11.643668171862586,10.060193847828206,5.054399999999999,6.3
Protein,Bat,Myotis lucifugus,M_luci_19,8.18,12.805,NA,NA,NA,NA,NA
Protein,Bat,Myotis lucifugus,M_luci_2,NA,NA,8.614923807357414,9.205624513710665,8.440691585267938,7.4984,11.7
Protein,Bat,Myotis lucifugus,M_luci_20,10.37575,20.664858,NA,NA,NA,NA,NA
Protein,Bat,Myotis lucifugus,M_luci_21,16.6256549,14.7539,NA,NA,NA,NA,NA
