diet,taxon,species,id,measure,prox,med,dist
Omnivorous,Rodent,Akodon montensis,Ak1,crypt width,0.03862091503267974,0.03565686274509804,0.033098856209150325
Omnivorous,Rodent,Akodon montensis,Ak2,crypt width,0.04921111111111111,0.03310270774976657,0.03828635620915033
Omnivorous,Rodent,Akodon montensis,Ak3,crypt width,0.0372859477124183,0.03310270774976657,0.04087581699346405
Omnivorous,Rodent,Akodon montensis,Ak4,crypt width,0.0369777183600713,0.033738198983297024,0.026779411764705885
Herbivorous,Bat,Artibeus lituratus,Ar1,crypt width,0.023553818880579676,0.0435230962355717,0.015642986306234185
Herbivorous,Bat,Artibeus lituratus,Ar2,crypt width,0.033055277777777774,0.033140555555555555,0.03699666666666667
Herbivorous,Bat,Artibeus lituratus,Ar3,crypt width,0.03399361111111111,0.035756111111111114,0.03537666666666667
Herbivorous,Bat,Carollia perspicillata,Cp1,crypt width,0.030354166666666665,0.02690588235294118,0.030936928104575163
Herbivorous,Bat,Carollia perspicillata,Cp2,crypt width,0.02391013071895425,0.02942687908496732,0.025185049019607844
Herbivorous,Bat,Carollia perspicillata,Cp3,crypt width,0.03408202614379085,0.033791666666666664,0.03212371615312792
Herbivorous,Bat,Carollia perspicillata,Cp4,crypt width,0.030121323529411766,0.023159150326797384,0.03327404295051354
Omnivorous,Rodent,Delomys sublineatus,Ds1,crypt width,0.04008333333333334,0.04449901960784313,0.04158636788048553
Omnivorous,Rodent,Delomys sublineatus,Ds2,crypt width,0.04127369281045752,0.03717614379084967,0.0397235294117647
Omnivorous,Rodent,Delomys sublineatus,Ds3,crypt width,0.04828104575163398,0.05178618113912232,0.043570961718020544
Protein,Bat,Desmodus rotundus,Dr1,crypt width,0.03532679738562092,0.03972549019607844,0.0382
Protein,Bat,Desmodus rotundus,Dr2,crypt width,0.03741031227305737,0.03262254901960785,0.034834733893557415
Protein,Bat,Desmodus rotundus,Dr3,crypt width,0.04064444444444445,0.03814472455648926,0.04152352941176471
Protein,Bat,Eptesicus fuscus,Eptesicus1,crypt width,0.0333,0.03632,0.03688
Protein,Bat,Eptesicus fuscus,Eptesicus2,crypt width,0.03953,0.04349,0.04149
Protein,Bat,Eptesicus fuscus,Eptesicus3,crypt width,0.03675,0.03691,0.03498
Protein,Bat,Eumops glaucinus,Eg,crypt width,0.016808823529411765,0.024799927378358746,0.03336013071895425
Protein,Rodent,Euryoryzomys russatus,E1,crypt width,0.04181781045751634,0.04321078431372549,0.04238186274509804
Protein,Rodent,Euryoryzomys russatus,E2,crypt width,0.03861136249371544,0.04014031862745099,0.054592903828197946
Protein,Rodent,Euryoryzomys russatus,E3,crypt width,0.04168347338935574,0.04891633986928104,0.04751797385620915
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus1,crypt width,0.03807,0.03497,0.03332
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus2,crypt width,0.04579,0.04127,0.03718
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus3,crypt width,0.04286,0.03759,0.03576
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus4,crypt width,0.04748,0.03928,0.03515
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus5,crypt width,0.04022,0.04261,0.04506
Protein,Bat,Molossus molossus,Mmo1,crypt width,0.032544860368389786,0.03140261437908496,0.03545686274509804
Protein,Bat,Molossus molossus,Mmo2,crypt width,0.03150599128540305,0.03435947712418301,0.03459803921568627
Protein,Bat,Molossus molossus,Mmo3,crypt width,0.026101307189542487,0.03101437908496732,0.027743018419489007
Protein,Bat,Molossus rufus,Mr,crypt width,0.027936528685548287,0.03129607843137255,0.030888888888888893
Omnivorous,Rodent,Mus musculus,Mm1,crypt width,0.03723476347383469,0.03730966834369819,0.03384044025408646
Omnivorous,Rodent,Mus musculus,Mm2,crypt width,0.036762015711938906,0.03615563842362844,0.032343675344971665
Omnivorous,Rodent,Mus musculus,Mm3,crypt width,0.03633771341225472,0.031073528599954704,0.03747061387729307
Omnivorous,Rodent,Mus musculus,Mm4,crypt width,0.03165220917018349,0.034164520408959655,0.03316277484947643
Omnivorous,Rodent,Mus musculus,Mm5,crypt width,0.035496675442052955,0.030392627152682206,0.029445799140735494
Omnivorous,Rodent,Mus musculus,Mm6,crypt width,0.03965361018630089,0.031531999703045495,0.03258504605650131
Protein,Bat,Myotis lucifugus,My1,crypt width,0.03172,0.03308,0.0352
Protein,Bat,Myotis lucifugus,My2,crypt width,0.04198,0.04085,0.03958
Protein,Bat,Myotis lucifugus,My3,crypt width,0.04064,0.04105,0.03776
Herbivorous,Rodent,Olygoryzomys nigripes,o1,crypt width,0.03621354952237305,0.033984909650134565,NA
Herbivorous,Rodent,Olygoryzomys nigripes,o2,crypt width,0.039260037348272644,0.03491666666666667,0.045959558823529416
Protein,Rodent,Peromyscus leucopus,P1,crypt width,0.04882,0.05755,0.05429
Protein,Rodent,Peromyscus leucopus,P2,crypt width,0.04452,0.04677,0.04884
Protein,Rodent,Peromyscus leucopus,P3,crypt width,0.0477,0.04822,0.04049
Herbivorous,Rodent,Sooretamys angouya,s1,crypt width,0.044008169934640524,0.03627705156136528,0.041298474945533764
Herbivorous,Rodent,Sooretamys angouya,s2,crypt width,0.03598774509803922,0.042708853238265,0.04023790849673203
Protein,Bat,Tadarida brasiliensis,Tb1,crypt width,0.012542330293356788,0.021526822034785557,0.022195540733211127
Protein,Bat,Tadarida brasiliensis,Tb2,crypt width,0.01937513919742335,0.017264573137419505,0.016764509368343505
