diet,clade,species,log_mass,stat,log_clear,log_enterocyte_density,log_sef
Carb,Bat,Artibeus lituratus,4.238070309447957,mean,2.6756412720305858,17.327938497627652,2.82218486983062
Carb,Bat,Artibeus lituratus,4.238070309447957,se,0.18610338799916099,0.07938016622755854,0.022120202048511454
Carb,Bat,Carollia perspicillata,2.85199308880006,mean,2.1579265508497203,18.03136972308227,2.8345317783128263
Carb,Bat,Carollia perspicillata,2.85199308880006,se,0.0928692867808418,0.045390004152137675,0.04773242709864991
Carb,Rodent,Akodon montensis,3.4676788356225927,mean,1.4238910333907944,16.802890306327775,2.3426064933627417
Carb,Rodent,Akodon montensis,3.4676788356225927,se,0.11507567914750305,0.043125240913341266,0.021436568522072423
Carb,Rodent,Mus musculus,3.6104363630737035,mean,0.38501909683375524,17.761209873049392,2.2644095273581097
Carb,Rodent,Mus musculus,3.6104363630737035,se,0.16258681717591814,0.0764768077018614,0.04873053374485476
Carb,Rodent,Rattus norvegicus,NA,mean,0.21218397581784632,NA,1.938987502672785
Carb,Rodent,Rattus norvegicus,NA,se,0.17228395476761404,NA,0.07708059943799062
Protein,Bat,Desmodus rotundus,3.645569207479062,mean,1.1838057039658132,17.462450214725227,2.5133159461710806
Protein,Bat,Desmodus rotundus,3.645569207479062,se,0.2455823087758047,0.035950550543162645,0.036799174656906894
Protein,Bat,Myotis lucifugus,2.1873005245583292,mean,0.8898244692223429,16.652928749568794,2.2506679204276834
Protein,Bat,Myotis lucifugus,2.1873005245583292,se,0.2399940108497421,0.10105391367296213,0.08479113365496524
Protein,Bat,Tadarida brasiliensis,2.633478595930323,mean,0.7207532211392292,18.411383501671583,2.9117112284763818
Protein,Bat,Tadarida brasiliensis,2.633478595930323,se,0.08565754546759918,0.0749234846797533,0.03480025143671233
Protein,Rodent,Peromyscus leucopus,3.2454073606320524,mean,-0.055520134039644196,16.20738613757728,2.139474656177736
Protein,Rodent,Peromyscus leucopus,3.2454073606320524,se,0.1221747939031043,0.11866496572246499,0.11671693700026589
