clade,diet,species,stat,log_intestinal_length,log_mass,log_nsa,log_sef,log_total_enterocytes,log_vill_surface_area
Bat,Herbivorous,Artibeus lituratus,mean,3.867176158213428,4.238070309447957,3.332183772741312,2.82218486983062,20.660122270368962,6.168186590191751
Bat,Herbivorous,Artibeus lituratus,se,0.03538508922463512,0.06638258518894152,0.08344280634490614,0.02212020204851134,0.01919735701715017,0.0757403515522748
Bat,Herbivorous,Carollia perspicillata,mean,2.1428728396620054,2.85199308880006,1.8642531569744323,2.8345317783128263,19.895622880056706,4.723636589324421
Bat,Herbivorous,Carollia perspicillata,se,0.045265755020310106,0.13993437381509513,0.051015879829236783,0.04773242709864993,0.04251232229743453,0.02116510645242633
Bat,Protein,Desmodus rotundus,mean,2.913526637720707,3.645569207479062,2.328410843027237,2.5133159461710806,19.790861057752466,4.794696454478036
Bat,Protein,Desmodus rotundus,se,0.025207500101709423,0.07124157898577022,0.1294655441015815,0.036799174656906894,0.13611583430899418,0.1322103075413574
Bat,Protein,Eptesicus fuscus,mean,2.4449124101841835,2.7283848506207966,1.9657486757295912,2.3762055203955876,19.234972326773093,4.342352858775498
Bat,Protein,Eptesicus fuscus,se,0.21822181536723564,0.1978928938154563,0.21777048768495136,0.1224345825588065,0.1843215177593217,0.1078783380798978
Bat,Protein,Eumops glaucinus,mean,2.379546134130174,3.5304697173662944,2.118181369995767,2.8003180763836584,19.783754784216242,4.9236741438434475
Bat,Protein,Eumops glaucinus,se,0.09193842028427912,0.1184145376813162,0.13457621897996272,0.06800824432454958,0.1404620916401312,0.10373227167811568
Bat,Protein,Molossus molossus,mean,2.3085549797585587,2.5920765436283633,1.7410556843357012,2.5153246679749612,19.39621099298283,4.219394726321668
Bat,Protein,Molossus molossus,se,0.10132010615835595,0.10119837189169208,0.1212432383059458,0.06121607931535697,0.2194170834707376,0.1503029982439236
Bat,Protein,Molossus rufus,mean,2.8273136219290276,3.5139306516493947,2.4029205039353445,2.7535381091429323,20.314032026126203,5.1193866524571465
Bat,Protein,Molossus rufus,se,0.09193842028427912,0.1184145376813162,0.13457621897996272,0.06800824432454958,0.1404620916401312,0.10373227167811568
Bat,Protein,Myotis lucifugus,mean,2.644904194819197,2.1873005245583292,1.9037054177206207,2.2506679204276834,18.556634167289413,4.101237260590357
Bat,Protein,Myotis lucifugus,se,0.09282708039149871,0.18253848139651505,0.1428299906762674,0.08479113365496524,0.041997845164122624,0.05888120448417654
Bat,Protein,Tadarida brasiliensis,mean,2.8144541352905836,2.633478595930323,2.0621024292135983,2.9117112284763818,20.47348593088518,4.979129089856631
Bat,Protein,Tadarida brasiliensis,se,0.0221155994025959,0.039201362317147326,0.061571834131067586,0.0348002514367123,0.12045817749747999,0.06938851004122303
Rodent,Herbivorous,Microtus pennsylvanicus,mean,3.190620600514923,3.7534121070132613,2.829708035898444,2.493766785630271,19.724606723877073,5.325754690981025
Rodent,Herbivorous,Microtus pennsylvanicus,se,0.0880668892940094,0.09604091285982698,0.09004986538467322,0.032551856188877355,0.08391324962534816,0.035893011829874026
Rodent,Herbivorous,Oligoryzomys nigripes,mean,3.0127155483356276,3.5694663560360747,2.5122430281113597,2.272878094168479,18.962526356840684,4.52761597784542
Rodent,Herbivorous,Oligoryzomys nigripes,se,0.1736370848270132,0.4409529712482651,0.29089510587793654,0.13640355018144087,0.21278145110219346,0.05714704793075959
Rodent,Herbivorous,Sooretamys angouya,mean,3.843420797609867,4.629240162402014,3.6700545620873233,2.0700540170270516,20.715623700734284,5.792857962648835
Rodent,Herbivorous,Sooretamys angouya,se,0.12498254125438635,0.12003036755983397,0.1279557908482496,0.17804184848879887,0.10224299643017608,0.07840108403164514
Rodent,Omnivorous,Akodon montensis,mean,3.7781970220379346,3.4676788356225927,3.3021579057241093,2.3426064933627417,20.105048212051887,5.607275840157812
Rodent,Omnivorous,Akodon montensis,se,0.06327336836888148,0.009621946712094561,0.041376277545812884,0.021436568522072423,0.06081586295535431,0.0299254320509106
Rodent,Omnivorous,Delomys sublineatus,mean,3.5971159817382485,4.274825863354786,3.366338926282287,2.003064163752788,20.370679873319265,5.326243453751076
Rodent,Omnivorous,Delomys sublineatus,se,0.013985269751302192,0.045098604517356464,0.050394045270189924,0.0500505675770153,0.06413087338232465,0.0900260772678904
Rodent,Omnivorous,Mus musculus,mean,3.8589201023319055,3.6104363630737035,3.3306647037603025,2.2644095273581097,21.091874576809694,5.581670885274282
Rodent,Omnivorous,Mus musculus,se,0.027121907263830878,0.05400476508130678,0.07166974581556416,0.04873053374485482,0.0801169053073855,0.08252501293491744
Rodent,Omnivorous,Thaptomys nigrita,mean,3.6470948379015433,3.2321089474717444,2.9372510253566086,1.8927857723736465,19.791889564703528,4.905038624974297
Rodent,Omnivorous,Thaptomys nigrita,se,0.08912495919196113,0.03642258039932372,0.08123809253968232,0.0724369677996337,0.07378795612113039,0.026378314665826075
Rodent,Protein,Euryoryzomys russatus,mean,3.40621048285077,5.055780692097801,3.6592651180143556,2.405597449801595,20.785658824608372,6.080936138088503
Rodent,Protein,Euryoryzomys russatus,se,0.07797791094498624,0.03606490422773478,0.1502562679729287,0.10595381777637902,0.099624573207516,0.07658254181972109
Rodent,Protein,Peromyscus leucopus,mean,3.161254436482222,3.2454073606320524,2.7390353450243103,2.139474656177736,18.94642148260159,4.833634726588974
Rodent,Protein,Peromyscus leucopus,se,0.04386364738130436,0.032753761870257914,0.09759331199435535,0.11671693700026589,0.02628038972287032,0.04958116495503674
